id,title,authors,date,source_name,category,type,area,url,summary,breadth_score,significance_score,tags,notes,retrieved_at
4b63c5b4cc6e50e7,The Geometry of Maximal Globally Hyperbolic Developments for 3𝐷 Compressible Fluids Terminating in Shocks,"Leonardo Abbrescia, Jared Speck",2026-03,Notices of the AMS,A,expository,уравнения в частных производных,https://doi.org/10.1090/noti3313,,5,3,"cross-field,expository,type:expository",,2026-07-10T04:39:49
a88adfa67847255d,Topology Meets Machine Learning: An Introduction Using the Euler Characteristic Transform,Bastian Rieck,2025-08,Notices of the AMS,A,expository,топология,https://doi.org/10.1090/noti3193,,5,3,"cross-field,expository,legible,type:expository",,2026-07-10T04:39:49
e6126b323a256b02,Bookshelf,Emily Olson,2025-09,Notices of the AMS,A,expository,,https://doi.org/10.1090/noti3222,,4,3,"expository,type:expository",,2026-07-10T04:39:49
5f03e75e525663a7,"George B. Seligman (April 30, 1927–April 25, 2024)","Alex Feingold, Duncan Melville, Kailash Misra, et al.",2025-09,Notices of the AMS,A,expository,,https://doi.org/10.1090/noti3205,,4,3,"expository,type:expository",,2026-07-10T04:39:49
d594bb04c7e3da67,Mathematics People,,2026-04,Notices of the AMS,A,expository,история/философия математики,https://doi.org/10.1090/noti3326,,4,3,"expository,type:expository",,2026-07-10T04:39:49
8ae4844fbe567818,Mathematics Students’ Reasoning from If-Then Statements,Lara Alcock,2026-06,Notices of the AMS,A,expository,,https://doi.org/10.1090/noti3344,,4,3,"expository,type:expository",,2026-07-10T04:39:49
d947f9fed46c5478,"The Markoff Equation: Past, Present, Future",Joseph Silverman,2026-05,Notices of the AMS,A,expository,,https://doi.org/10.1090/noti3336,,4,3,"expository,type:expository",,2026-07-10T04:39:49
f615b686d216b66d,The Fundamental Theorem of Finite Games,Joel Hamkins,2025-09,Notices of the AMS,A,expository,,https://doi.org/10.1090/noti3203,,4,3,"expository,type:expository",,2026-07-10T04:39:49
3dcbdd32db867d45,Bookshelf,Emily Olson,2026-03,Notices of the AMS,A,expository,,https://doi.org/10.1090/noti3310,,4,3,"expository,type:expository",,2026-07-10T04:39:49
09d3c42d7b35c9c3,2025 Contributors,,2026-06,Notices of the AMS,A,expository,,https://doi.org/10.1090/noti3357,,4,3,"expository,type:expository",,2026-07-10T04:39:49
6fc643421bf45e3d,Adriano Garsia (1928–2024),"Jennifer Morse, Mike Zabrocki, Michelle Wachs, et al.",2026-06,Notices of the AMS,A,expository,,https://doi.org/10.1090/noti3349,,4,3,"expository,type:expository",,2026-07-10T04:39:49
